month,day,hour,description,lamax,laeq
12,16,22,MP08bis - Vrijthof,44.51572222222222,43.280499999999996
12,16,23,MP 01: Naamsestraat 35  Maxim,56.84863888888889,53.94697222222222
12,16,23,MP 02: Naamsestraat 57 Xior,52.532944444444446,50.538
12,16,23,MP 03: Naamsestraat 62 Taste,54.52122222222222,52.73769444444445
12,16,23,MP 04: His & Hears,55.126777777777775,53.06138888888889
12,16,23,MP 05: Calvariekapel KU Leuven,53.87788888888889,51.457611111111106
12,16,23,MP 06: Parkstraat 2 La Filosovia,52.89002777777778,50.80236111111111
12,16,23,MP 07: Naamsestraat 81,51.3795,49.65302777777777
12,16,23,MP08bis - Vrijthof,44.295249999999996,42.94288888888889
12,17,0,MP 01: Naamsestraat 35  Maxim,53.927749999999996,51.32758333333333
12,17,0,MP 02: Naamsestraat 57 Xior,51.91525,49.85869444444444
12,17,0,MP 03: Naamsestraat 62 Taste,53.65255555555556,51.84005555555556
12,17,0,MP 04: His & Hears,54.11122222222222,51.94786111111111
12,17,0,MP 05: Calvariekapel KU Leuven,52.01680555555556,49.44036111111111
12,17,0,MP 06: Parkstraat 2 La Filosovia,51.06791666666667,48.77963888888889
12,17,0,MP 07: Naamsestraat 81,48.60722222222222,46.82830555555555
12,17,0,MP08bis - Vrijthof,43.39033333333334,41.98961111111111
12,17,1,MP 01: Naamsestraat 35  Maxim,52.229897193664904,49.64059460961378
12,17,1,MP 02: Naamsestraat 57 Xior,51.370705947748746,48.92084491384102
12,17,1,MP 03: Naamsestraat 62 Taste,51.977833333333336,50.00527777777778
12,17,1,MP 04: His & Hears,52.00366666666667,49.998361111111116
12,17,1,MP 05: Calvariekapel KU Leuven,50.556666666666665,47.71391666666667
12,17,1,MP 06: Parkstraat 2 La Filosovia,49.305527777777776,46.91938888888888
12,17,1,MP 07: Naamsestraat 81,47.64491666666667,45.63477777777778
12,17,1,MP08bis - Vrijthof,43.47924999999999,41.86669444444445
12,17,2,MP 01: Naamsestraat 35  Maxim,47.06638888888889,44.76133333333333
12,17,2,MP 02: Naamsestraat 57 Xior,45.40566666666666,43.29797222222223
12,17,2,MP 03: Naamsestraat 62 Taste,49.860499999999995,48.08569444444444
12,17,2,MP 04: His & Hears,48.38447222222222,46.681555555555555
12,17,2,MP 05: Calvariekapel KU Leuven,47.77027777777778,44.5835
